Days	JW1	JW2	JW3	JW4	JW5	JW6	JW7
1	10583	18770	12667	12037	9905	12636	13700
2	11283	12381	8903	10582	15002	5914	7958
3	10985	7670	4652	8762	4586	7812	5694
4	12574	3659	4584	9142	3413	6314	7771
5	14364	9148	8641	8723	10020	6322	6653
6	12893	9279	11557	12614	7898	23737	7041
7	10641	10543	14686	8400	10624	11667	10344
8	10767	11745	10758	11208	18889	11048	11234
9	12944	11148	10191	9516	14053	10739	11631
10	13727	11743	10103	8405	5902	13168	13127
11	13005	10578	10012	8740	2984	15425	12647
12	11696	10478	8989	11033	10737		12996
13	9202	6537	7923	8599	5241	9252	10377
14	12515	9511	10367	8414	10316	10824	11270
15	12003	10480	6096	8591	13024	8237	14203
16	9335	7892	7889	8755	11544	13829	11905
17	12071	10820	11312	8604	2489	7397	13129
18	8254	10175	10265	15685	440	9169	13856
19	12153	13783	8186	8504	11671	6775	11955
20	9883	15930	14700	8418	10090	12277	11826
21	13041	15267	9413	12082	14870	8653	10843
22	12168	10447	13940	9094	7039	14659	13767
23	11297	3929	10159	8375	16164	5489	14319
24	18688	17643	12170	11095	8879	8230	12219
25	13180	7542	8957	8682	2638	19760	11741
26	15085	9757	16214	9000	5206	10744	11728
27	15861	9816	10526	12528	11499	10802	11430
28	8477	12494	13440	12341	13739	7475	13263
29	9475	8677	17716	21603	10285	17370	13236
30	6014	10018	5974	15233	1354	21969	11728
31	10707	7726	8117	17483	8872	7499	10622
32	20176	12613	14389	14799	2768	10900	15004
33	12507	10482	11717	8377	11297	10841	12601
34	11091	10322	18791	8715	15588	10806	11737
35	5971	10150	13956	6946	11438	10843	14134
36	9938	12363	21920	8479	14631	12197	7486
37	9567	7129	13620	4983	12705	9252	7275
38	8070	9013	10103	8472		10791	12288
39	9527	12206	10994	9356		10745	13591
40	14397	8223	8947	9007	13459	10308	10977
41	4715	10340	8112	8489	6813	18528	12282
42	6926	10785	7199	8624	12108	11762	12183
43	8024	11043	16942	8367	11523	15977	12794
44	8395	9795	10255	8763	14207	12588	11617
45	10507	6625	10029	8547	11165	6909	11291
46	9608	11013	13860	8517	3875	10709	12895
47	9715	10003	11306	8569	9775	10030	10980
48	9184	9780	8264	8443	11712	12068	12459
49	8771	11684	6787	8372	7464	7818	13250
50	11663	23147	18611	8523	10972	10989	12447
51	10111	4861	11232	5892	14853	10319	12422
52	13304	8084	9294	8708	7387	10378	12722
53	7471	10780	9632	9331	521	10678	12334
54	11476		12280	8604	11274	14739	12327
55	14052		10205	8493	8599	10543	11526
56	10190		11194	9312	14263	19232	14499
