day	JW1	JW2	JW3	JW4	JW5	JW6	JW7
1	51.9	80.5	34.1	20.1	49.3	57.1	62.2
2	49.2	24.3	42.6	22.3	47.0	18.1	39.1
3	57.0	20.4	9.9	31.9	19.5	33.3	22.5
4	62.9	16.4	15.6	26.6	4.9	26.5	40.0
5	67.5	26.0	22.3	24.8	39.5	22.8	36.6
6	33.0	37.1	34.0	32.8	24.9	142.8	40.3
7	40.7	20.7	49.0	32.3	53.7	56.9	62.5
8	55.3	21.9	30.9	31.5	83.7	50.5	59.8
9	62.1	47.0	29.3	25.3	50.7	41.9	68.5
10	69.2	55.1	20.3	23.2	13.3	71.6	85.4
11	72.5	42.3	27.9	9.3	11.6	95.7	74.1
12	26.5	42.1	32.9	18.9	51.7		87.3
13	19.9	30.5	20.5	20.6	19.9	40.3	49.5
14	59.7	17.5	40.2	34.4	51.2	55.4	65.2
15	60.3	17.3	11.7	21.2	57.1	49.4	97.2
16	41.7	39.1	19.8	16.9	56.5	66.9	80.2
17	57.7	54.7	24.5	32.9	3.5	27.3	85.2
18	39.1	49.1	37.7	49.3	0.5	33.6	92.0
19	52.3	73.5	19.5	37.5	64.5	18.7	86.0
20	29.2	63.0	61.3	25.7	33.3	55.6	77.5
21	64.6	21.5	23.5	46.0	60.1	48.8	65.0
22	62.3	18.9	50.5	22.7	19.3	66.3	85.1
23	53.1	19.0	50.3	29.8	40.3	27.7	97.1
24	76.7	57.3	45.1	23.6	35.3	33.9	56.3
25	48.8	23.5	23.4	20.9	4.7	95.0	71.3
26	47.9	42.1	36.9	26.8	15.7	31.5	83.3
27	57.5	43.9	20.3	26.3	34.7	42.5	62.0
28	37.5	28.5	30.6	30.0	61.9	23.7	89.3
29	18.7	39.2	64.5	42.3	26.9	67.1	86.7
30	6.0	43.1	22.9	25.8	3.7	54.1	70.9
31	51.0	45.6	23.9	15.3	29.0	28.4	60.7
32	90.3	61.3	38.9	11.5	7.5	42.2	95.9
33	41.3	24.3	29.5	21.9	36.5	34.9	82.7
34	23.3	60.4	40.5	31.4	47.1	47.3	71.3
35	9.7	68.2	23.5	10.3	36.1	47.0	80.0
36	38.4	49.9	55.3	19.1	63.5	43.9	30.7
37	43.1	19.9	18.7	19.3	40.8	25.5	3.3
38	40.4	16.5	29.9	23.7		49.2	59.3
39	38.5	70.1	32.7	20.5		36.1	88.8
40	66.1	43.1	47.9	35.3	52.3	82.1	71.5
41	5.9	49.1	25.6	32.9	20.9	57.1	76.5
42	7.1	59.3	26.1	32.3	53.3	62.2	50.5
43	37.7	22.8	79.8	32.5	41.1	31.8	80.3
44	35.8	17.4	50.7	31.6	48.1	61.3	77.8
45	45.7	38.1	40.9	34.5	42.0	23.1	68.1
46	35.9	61.5	69.5	27.1	10.4	41.9	79.3
47	19.7	57.9	40.7	28.1	36.5	39.1	73.9
48	43.3	54.9	30.2	28.4	32.4	58.5	77.5
49	11.9	31.5	26.5	22.2	19.7	50.8	73.9
50	60.2	47.2	87.9	24.6	45.7	74.9	73.3
51	43.9	24.5	47.3	12.7	49.1	29.8	82.1
52	68.1	55.0	34.1	11.9	26.5	27.0	72.5
53	20.2	67.9	38.8	32.0	0.6	18.5	77.1
54	21.9		68.4	38.6	28.5	74.7	80.4
55	29.4		60.4	30.9	31.7	37.7	74.1
56	53.5		63.4	28.1	60.3	37.5	100.3
