miRNA JW1Post JW1Pre JW2Post JW2Pre JW3Post JW3Pre JW4Post JW4Pre JW5Post JW5Pre JW6Post JW6Pre JW7Post JW7Pre
hsa-let-7a-1 0 0 0 2 2 3 4 2 3 1 0 1 1 0
hsa-let-7a-2 0 0 0 2 2 3 3 0 5 7 0 1 0 0
hsa-let-7a-3 0 0 0 2 1 3 4 0 1 7 0 1 1 0
hsa-let-7a-3p 139 15 64 96 107 108 277 55 218 59 52 112 103 80
hsa-let-7a-5p 34802 12123 21877 22332 33131 22617 51535 42453 58200 22497 8883 59169 33957 26466
hsa-let-7b-3p 35 10 5 72 35 38 54 88 34 8 12 11 48 45
hsa-let-7b-5p 91319 26878 42781 96625 197773 195149 367991 258704 276630 58222 37387 108231 125497 146697
hsa-let-7b 0 0 0 1 0 0 0 0 1 0 0 0 2 0
hsa-let-7c-3p 0 0 0 0 0 0 0 0 11 1 0 0 0 0
hsa-let-7c-5p 6088 1666 3051 3553 7463 5233 12473 8813 12688 4922 1108 13153 5695 4995
hsa-let-7c 2 0 1 5 6 1 5 20 23 2 0 3 8 14
hsa-let-7d-3p 3265 667 2215 3760 4242 3037 7569 5732 9579 1940 1425 4128 5425 3523
hsa-let-7d-5p 2906 909 2158 1866 2378 1181 3787 3650 6008 1814 854 4995 1964 1839
hsa-let-7e-3p 1 0 4 7 0 1 0 16 0 0 0 3 0 2
hsa-let-7e-5p 1293 598 781 596 1427 768 1266 1367 2062 883 260 1697 1936 1088
hsa-let-7f-1-3p 60 2 13 2 26 1 17 17 38 11 7 19 40 0
hsa-let-7f-2-3p 1 0 0 14 0 0 5 0 23 1 1 2 0 0
hsa-let-7f-5p 46543 18804 31818 21533 35999 17948 43564 31585 49609 18714 11903 71723 21408 16479
hsa-let-7g-3p 0 0 0 0 0 0 0 5 0 0 0 0 0 0
hsa-let-7g-5p 9171 2972 5476 9703 12628 10226 20235 16421 25160 7990 3314 15752 8240 9076
hsa-let-7g 0 0 0 0 1 2 0 17 0 0 0 9 0 0
hsa-let-7i-3p 0 0 0 20 5 0 0 0 0 0 0 0 0 0
hsa-let-7i-5p 83030 28665 56169 52862 89040 58638 114332 80026 118703 32960 31508 122921 41435 48026
hsa-let-7i 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-1-3p 410 104 321 448 1076 366 198 386 763 540 18 355 173 267
hsa-miR-100-5p 639 62 540 645 413 640 1164 777 625 722 79 677 839 892
hsa-miR-101-3p 1606 262 667 1730 2856 2583 5001 5023 6157 1412 461 2254 3002 2976
hsa-miR-103a-2-5p 0 0 0 0 0 0 0 0 0 0 0 1 0 0
hsa-miR-103a-3p 1026 274 580 567 626 804 1229 1106 1527 550 396 1384 734 721
hsa-miR-105-5p 0 0 0 0 0 0 1 1 0 0 1 0 0 0
hsa-miR-106a-5p 16 0 5 8 21 28 23 10 32 7 10 10 0 32
hsa-miR-106b-3p 777 188 531 576 918 537 1524 1137 1439 594 272 1172 636 605
hsa-miR-106b-5p 84 2 10 60 41 57 71 88 98 27 19 34 39 50
hsa-miR-107 171 33 111 166 235 342 612 464 678 161 52 187 384 296
hsa-miR-10a-3p 0 0 1 2 1 16 16 1 0 1 2 3 0 22
hsa-miR-10a-5p 6320 1872 4116 7280 7252 7866 11173 9702 10007 4061 1377 5116 13677 6723
hsa-miR-10b-3p 0 0 4 1 9 5 13 19 27 1 4 1 3 11
hsa-miR-10b-5p 8130 3883 4140 14512 14434 17290 20365 16555 12848 5994 2185 7270 31942 12566
hsa-miR-1178-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-1180-3p 346 54 119 313 807 689 970 912 1063 179 206 376 699 845
hsa-miR-1185-1-3p 0 0 0 0 0 0 14 1 19 0 0 0 0 0
hsa-miR-1185-2-3p 0 0 0 0 0 1 0 0 0 0 0 0 0 0
hsa-miR-1193 0 0 0 0 0 0 0 0 11 0 0 0 0 0
hsa-miR-122-3p 0 0 0 0 0 1 0 0 0 0 0 0 0 0
hsa-miR-122-5p 120926 60650 70390 444381 308668 228040 462169 357486 537425 260663 18122 115704 1048223 795666
hsa-miR-1224-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-1224-5p 7 0 10 123 51 27 60 67 124 21 8 42 143 74
hsa-miR-1226-3p 11 6 14 7 11 0 0 1 29 5 2 0 0 0
hsa-miR-1227-3p 5 0 6 0 8 9 11 0 9 6 5 10 0 0
hsa-miR-1228-3p 0 0 0 0 19 0 15 0 25 2 0 0 4 18
hsa-miR-1228-5p 59 41 75 62 283 269 268 142 145 91 12 38 515 531
hsa-miR-1229-3p 9 1 3 21 26 0 12 17 60 0 10 16 24 0
hsa-miR-1233-3p 0 0 0 0 0 0 2 0 0 0 0 0 0 0
hsa-miR-1234-3p 0 0 0 0 0 0 0 0 0 0 1 0 0 0
hsa-miR-1236-3p 0 0 1 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-1236-5p 0 0 0 0 4 0 0 0 12 0 0 0 0 0
hsa-miR-1237-3p 0 0 7 11 0 8 10 0 17 0 4 0 0 6
hsa-miR-1238-3p 0 1 4 15 12 4 23 9 24 0 11 9 1 11
hsa-miR-1246 155 28 59 99 144 117 187 144 129 50 36 76 314 272
hsa-miR-1247-3p 0 0 0 0 0 2 0 0 0 0 0 0 0 0
hsa-miR-1247-5p 0 0 0 0 0 0 0 1 3 0 0 1 0 0
hsa-miR-1248 0 0 0 0 0 0 0 1 0 0 5 0 0 0
hsa-miR-1249-3p 1 0 6 2 0 0 5 0 19 10 9 18 14 0
hsa-miR-1250-5p 8 0 0 0 0 0 0 0 4 9 1 12 0 0
hsa-miR-1251-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-1252-5p 1 0 0 0 1 0 0 0 0 0 0 0 0 0
hsa-miR-1254 8 0 0 0 0 0 0 0 10 0 2 0 0 0
hsa-miR-1255a 16 11 11 0 0 0 22 6 6 7 2 19 44 2
hsa-miR-1255b-5p 0 5 31 29 32 0 49 60 75 11 20 29 89 23
hsa-miR-1257 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-1258 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-125a-3p 6 4 18 33 43 5 32 24 63 2 5 18 40 31
hsa-miR-125a-5p 1561 515 933 2551 1920 2298 2587 2904 3266 805 385 1568 4714 1848
hsa-miR-125b-1-3p 6 0 5 18 0 10 1 9 44 9 2 6 103 3
hsa-miR-125b-2-3p 1 0 1 16 0 1 0 7 7 2 4 8 2 0
hsa-miR-125b-5p 163 37 78 291 172 190 192 215 352 166 34 165 257 336
hsa-miR-126-3p 53198 10519 19695 21519 32863 28337 40318 36977 45987 19060 8433 63774 37572 29781
hsa-miR-126-5p 160 40 94 106 158 76 215 141 151 103 41 252 79 80
hsa-miR-1260b 1 0 0 2 26 1 1 0 17 1 2 0 1 0
hsa-miR-1262 0 0 1 0 0 0 0 1 0 0 0 0 0 0
hsa-miR-1269a 0 0 0 0 0 2 0 0 0 0 0 1 0 0
hsa-miR-1269b 2 0 1 0 0 3 0 2 0 5 1 1 1 5
hsa-miR-127-3p 2635 578 3637 2718 940 364 3524 1971 2258 392 1039 2053 525 616
hsa-miR-127-5p 0 0 0 0 0 3 0 1 0 1 0 1 0 0
hsa-miR-1270 1 3 3 0 0 0 0 0 0 0 0 0 0 1
hsa-miR-1271-5p 18 0 0 0 10 1 2 10 11 2 1 2 0 1
hsa-miR-1273c 0 0 4 0 0 0 0 4 0 0 0 0 0 1
hsa-miR-1273d 0 0 7 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-1273h-3p 119 38 121 113 189 60 63 50 403 45 93 299 138 45
hsa-miR-1273h-5p 1 0 17 7 0 0 0 0 21 9 5 19 19 16
hsa-miR-1275 0 0 4 0 0 0 0 0 10 0 3 0 0 0
hsa-miR-1276 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-1277-3p 0 0 0 0 0 0 0 0 0 0 0 6 0 0
hsa-miR-1277-5p 0 0 4 0 0 0 0 0 0 0 0 8 0 0
hsa-miR-1278 5 6 3 9 0 3 0 26 0 0 5 1 0 0
hsa-miR-128-1-5p 5 0 1 0 0 0 0 1 0 1 0 0 0 0
hsa-miR-128-2-5p 0 0 0 5 0 0 0 0 0 0 0 0 0 0
hsa-miR-128-3p 14806 3497 10601 10475 12049 4599 17650 10694 27268 5053 6775 23049 6926 5769
hsa-miR-1283 0 0 0 0 0 2 0 4 0 8 0 2 0 0
hsa-miR-1284 0 0 1 7 17 13 0 0 12 0 0 7 0 22
hsa-miR-1285-3p 0 0 0 0 2 0 5 7 13 1 0 1 4 2
hsa-miR-1285-5p 0 0 0 0 0 0 0 0 1 0 0 2 0 0
hsa-miR-1287-5p 21 0 0 4 8 1 16 15 3 0 0 13 0 0
hsa-miR-1288-3p 0 0 0 8 0 0 0 0 6 2 1 0 0 0
hsa-miR-1289 0 0 0 0 0 0 0 0 9 0 0 0 0 0
hsa-miR-129-2-3p 0 0 0 0 0 0 0 1 0 0 0 0 0 0
hsa-miR-129-5p 19 0 19 38 10 18 20 14 77 3 3 24 15 20
hsa-miR-1290 0 0 0 0 0 0 0 0 0 0 0 0 1 1
hsa-miR-1291 8 0 0 2 5 1 9 0 1 0 0 8 0 0
hsa-miR-1292-5p 54 14 25 51 38 54 76 78 76 26 8 38 42 35
hsa-miR-1293 0 0 1 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-1294 14 2 12 12 76 19 85 28 51 10 7 37 1 89
hsa-miR-1295a 0 2 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-1295b-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-1296-5p 1 0 0 0 0 1 0 1 0 1 0 0 0 1
hsa-miR-1298-5p 0 0 0 0 0 11 0 1 9 15 0 0 0 0
hsa-miR-1299 48 5 9 7 44 42 47 77 78 25 0 1 24 35
hsa-miR-1301-3p 486 236 388 271 301 72 225 164 709 60 323 584 142 211
hsa-miR-1303 2 2 0 11 0 3 0 14 0 0 1 2 65 1
hsa-miR-1304-5p 27 3 3 26 22 25 30 26 14 8 4 47 0 15
hsa-miR-1306-3p 36 4 21 16 33 1 127 66 79 45 7 104 0 23
hsa-miR-1306-5p 0 0 4 0 3 10 6 0 16 0 0 6 0 18
hsa-miR-1307-3p 6673 1148 3495 2874 2567 1082 4166 3717 6932 1438 1867 7966 2271 1770
hsa-miR-1307-5p 0 0 0 9 0 4 1 4 16 0 0 0 8 0
hsa-miR-130a-3p 8 14 7 10 10 12 17 6 8 10 7 45 13 2
hsa-miR-130b-3p 13 0 3 5 6 12 0 11 18 9 3 38 0 13
hsa-miR-130b-5p 359 69 238 256 236 62 358 228 474 101 61 347 56 143
hsa-miR-132-3p 30 0 15 0 29 0 30 18 45 14 2 26 3 3
hsa-miR-132-5p 51 14 7 2 36 28 65 42 81 44 4 35 7 36
hsa-miR-1323 0 0 0 0 0 39 0 29 0 41 0 26 15 13
hsa-miR-133a-3p 13 0 1 0 0 0 2 0 12 0 0 0 5 1
hsa-miR-133b 4 0 0 0 0 0 0 0 12 0 0 0 5 1
hsa-miR-134-5p 212 49 398 196 125 60 424 407 453 67 54 184 85 121
hsa-miR-1343-3p 0 1 8 24 27 3 4 17 3 1 4 20 19 0
hsa-miR-1343-5p 0 0 0 0 0 0 0 0 5 0 0 0 0 0
hsa-miR-135a-3p 4 0 10 6 0 0 0 0 24 0 2 2 0 0
hsa-miR-135a-5p 0 0 0 0 0 0 0 0 1 0 0 0 0 0
hsa-miR-135b-3p 1 0 0 0 0 1 0 2 0 1 0 0 0 1
hsa-miR-135b-5p 3 0 2 0 0 2 1 1 0 2 2 4 0 1
hsa-miR-136-3p 1 0 9 0 5 5 25 6 0 0 0 3 24 0
hsa-miR-136-5p 13 0 14 2 9 1 0 6 23 0 0 0 0 0
hsa-miR-139-3p 586 142 256 444 281 253 827 571 1014 148 312 573 559 334
hsa-miR-139-5p 1855 557 625 837 1385 964 1811 1393 1668 588 643 2092 2290 1400
hsa-miR-140-3p 1285 274 919 1310 1134 734 1426 1414 2659 455 691 1418 1243 881
hsa-miR-140-5p 30 18 9 21 16 28 72 12 80 33 25 88 99 15
hsa-miR-141-3p 0 0 3 17 0 2 9 1 3 2 0 6 1 1
hsa-miR-141-5p 1 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-142-3p 228 42 57 39 89 73 69 75 108 94 28 297 74 35
hsa-miR-142-5p 121 20 103 193 184 226 174 207 326 149 46 278 88 92
hsa-miR-143-3p 3351 549 3434 3763 2770 1973 4152 3711 4566 1667 746 4762 1799 1701
hsa-miR-143-5p 0 9 0 0 0 3 0 12 0 0 0 4 0 17
hsa-miR-144-3p 13 3 6 29 75 56 41 123 87 29 9 18 78 12
hsa-miR-144-5p 48 10 30 29 66 26 27 39 71 64 14 43 56 98
hsa-miR-145-3p 45 24 40 157 35 63 32 34 31 14 26 91 135 99
hsa-miR-145-5p 7 1 11 2 5 9 2 4 10 2 10 20 3 1
hsa-miR-1468-5p 33 0 14 31 60 26 4 13 40 15 7 21 44 5
hsa-miR-1469 0 0 0 1 0 0 0 0 0 3 0 0 0 0
hsa-miR-146a-3p 0 9 0 5 3 0 0 3 0 0 10 14 20 0
hsa-miR-146a-5p 2790 672 1937 2243 1909 706 2663 2227 3656 807 918 3016 1056 1025
hsa-miR-146b-3p 4 4 8 19 44 0 0 16 35 18 7 29 4 7
hsa-miR-146b-5p 2719 846 2366 3556 1763 1207 2429 2127 3584 1063 1235 3223 2268 1545
hsa-miR-147b 0 1 0 2 3 0 0 9 20 1 0 0 0 0
hsa-miR-148a-3p 96404 20436 63307 126033 104195 52262 106283 88091 236070 58101 40528 109195 159292 96411
hsa-miR-148a-5p 50 8 7 21 2 12 29 3 96 10 11 9 1 4
hsa-miR-148b-3p 1396 403 843 493 964 724 1259 1216 1473 534 370 1667 661 621
hsa-miR-148b-5p 7 0 0 10 9 32 37 16 5 4 3 9 7 8
hsa-miR-149-5p 4 0 0 5 1 5 1 4 11 4 0 1 1 1
